Fact Crescendo,India,IND
FACTLY,India,IND
AAP FactCheck,Australia,AUS
fakt yoxla,Azerbaijan,AZE
Fakt Yoxla,Azerbaijan,AZE
Boatos.org,Brazil,BRA
Radio-Canada,Canada,CAN
Le Monde,France,FRA
https://www.lemonde.fr/,France,FRA
Deutsche Presse-Agentur,Germany,DEU
BBC Hindi,India,IND
Fact Crescendo ,India,IND
Tempo.co,Indonesia,IDN
فکت‌نامه,Iran,IRN
https://factcheckni.org/,Ireland,IRL
Fact Check NI,Ireland,IRL
Pagella Politica,Italy,ITA
https://pagellapolitica.it/,Italy,ITA
Factcheck.kz,Kazakhstan,KAZ
DUBAWA,Nigeria,NGA
Tsek.ph,Philippines,PHL
Rappler,Philippines,PHL
Africa Check,South Africa,ZAF
https://africacheck.org/,South Africa,ZAF
Newtral,Spain,ESP
Newtral ,Spain,ESP
台灣事實查核中心,Taiwan,TWN
MyGoPen,Taiwan,TWN
ศูนย์ชัวร์ก่อนแชร์ Sure And Share Center,Thailand,THA
BBC News,United Kingdom,GBR
PolitiFact,United States,USA
FactCheck.org,United States,USA
Washington Post,United States,USA
FactStream,United States,USA
WikiTribune,United States,USA
"National Academies of Sciences, Engineering, and Medicine",United States,USA
